,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,    2935,,    1635,,    1295,,   27825,,   14740,,   13080,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,    3685,,    2010,,    1675,,   39740,,   19630,,   20105,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,    4090,,    1960,,    2130,,   60825,,   29605,,   31220,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,     995,,     740,,     255,,   12360,,    9360,,    3000,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,     370,,     190,,     175,,    3900,,    2190,,    1710,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,     630,,     550,,      80,,    8460,,    7170,,    1290,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,    1510,,     465,,    1040,,   25410,,    9880,,   15525,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,     275,,     155,,     125,,    2345,,    1000,,    1345,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,    1320,,     600,,     715,,   20710,,    9360,,   11350,
" Highest certificate; diploma or degree","      Bachelor's degree",,     985,,     415,,     565,,   14960,,    6315,,    8645,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,      90,,      35,,      50,,     940,,     395,,     545,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,      60,,      50,,       0,,     690,,     475,,     220,
" Highest certificate; diploma or degree","      Master's degree",,     160,,      85,,      75,,    3245,,    1595,,    1650,
" Highest certificate; diploma or degree","      Earned doctorate",150,      30,,      15,,      15,,     870,,     585,,     280,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,    7815,,    4115,,    3705,,   83840,,   41990,,   41850,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,    1660,,     915,,     745,,   13175,,    7260,,    5915,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,    2750,,    1530,,    1220,,   24550,,   12370,,   12180,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,    3405,,    1670,,    1735,,   46115,,   22360,,   23755,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,     815,,     635,,     175,,    8840,,    6840,,    2000,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,     275,,     160,,     115,,    2570,,    1500,,    1065,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,     545,,     475,,      65,,    6270,,    5340,,     935,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,    1210,,     390,,     820,,   19100,,    7505,,   11595,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,     225,,     145,,      85,,    1655,,     740,,     910,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,    1160,,     500,,     655,,   16515,,    7275,,    9240,
" Highest certificate; diploma or degree","      Bachelor's degree",,     885,,     360,,     525,,   12000,,    5035,,    6965,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,      70,,      25,,      45,,     680,,     285,,     400,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,      50,,      40,,      10,,     555,,     350,,     205,
" Highest certificate; diploma or degree","      Master's degree",,     135,,      70,,      70,,    2630,,    1210,,    1415,
" Highest certificate; diploma or degree","      Earned doctorate",150,      20,,      10,,      15,,     650,,     400,,     250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",151,   10710,,    5605,,    5105,,  128390,,   63980,,   64410,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,    6615,,    3645,,    2975,,   67560,,   34375,,   33185,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,     445,,     130,,     310,,    5255,,    1440,,    3820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,     445,,     130,,     310,,    5255,,    1440,,    3820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,      45,,      25,,      20,,    1840,,     885,,     960,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,      20,,      20,,       0,,     320,,     245,,      75,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,      25,,       0,,      20,,    1520,,     635,,     885,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,     140,,      90,,      50,,    2130,,     995,,    1135,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,      15,,       0,,      10,,     135,,      45,,      95,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,      15,,      15,,       0,,     385,,     130,,     250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,      30,,      15,,      15,,     610,,     260,,     360,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,       0,,       0,,       0,,       0,,       0,,       0,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,      20,,       0,,      15,,     215,,     145,,      75,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,      45,,      30,,      15,,     495,,     285,,     205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,      20,,      20,,       0,,     245,,     130,,     110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,       0,,       0,,       0,,      40,,      10,,      35,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,     300,,      90,,     210,,    5000,,    1570,,    3430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,       0,,       0,,       0,,     100,,      20,,      80,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,      15,,       0,,      10,,     480,,     200,,     275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,      70,,       0,,      65,,    1290,,      90,,    1200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,      70,,      20,,      50,,     650,,     215,,     435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,      10,,      10,,      10,,      85,,      25,,      60,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,      45,,      15,,      35,,     990,,     280,,     705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,      95,,      50,,      40,,    1415,,     740,,     680,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,     735,,     190,,     545,,   10995,,    3830,,    7165,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,       0,,       0,,       0,,      35,,      10,,      20,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,      55,,      10,,      50,,     780,,     135,,     645,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,     680,,     185,,     495,,   10185,,    3685,,    6500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,     110,,      30,,      75,,    1935,,    1020,,     920,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,      70,,      25,,      50,,    1165,,     550,,     615,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,      25,,      10,,      20,,     345,,     175,,     175,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,       0,,       0,,       0,,      15,,      10,,      10,
